Date,Open,High,Low,Close,Adj Close,Volume,Stock,putWidth,putPremium,putIV,dt
2020-10-28,26.0,29.479999542236328,26.0,27.0,27.0,15890000,ROOT,2.5,0.25,0.9101571484375,2020-12-08 17:47:55
2020-10-29,28.100000381469727,28.18000030517578,24.049999237060547,25.799999237060547,25.799999237060547,5326600,ROOT,2.5,0.25,0.9101571484375,
2020-10-30,25.020000457763672,25.5,22.709999084472656,23.969999313354492,23.969999313354492,5021300,ROOT,2.5,0.25,0.9101571484375,
2020-11-02,23.799999237060547,24.5,21.770000457763672,23.690000534057617,23.690000534057617,3131300,ROOT,2.5,0.25,0.9101571484375,
2020-11-03,23.559999465942383,24.190000534057617,22.530000686645508,22.75,22.75,3758600,ROOT,2.5,0.25,0.9101571484375,
2020-11-04,23.200000762939453,23.739999771118164,22.799999237060547,23.030000686645508,23.030000686645508,745000,ROOT,2.5,0.25,0.9101571484375,
2020-11-05,23.110000610351562,24.790000915527344,23.049999237060547,23.760000228881836,23.760000228881836,928900,ROOT,2.5,0.25,0.9101571484375,
2020-11-06,24.0,24.149999618530273,22.709999084472656,22.739999771118164,22.739999771118164,630000,ROOT,2.5,0.25,0.9101571484375,
2020-11-09,23.149999618530273,23.3700008392334,22.084999084472656,22.709999084472656,22.709999084472656,1104700,ROOT,2.5,0.25,0.9101571484375,
2020-11-10,22.5,23.280000686645508,22.270000457763672,22.889999389648438,22.889999389648438,1047100,ROOT,2.5,0.25,0.9101571484375,
2020-11-11,23.020000457763672,23.81999969482422,22.6299991607666,22.739999771118164,22.739999771118164,539700,ROOT,2.5,0.25,0.9101571484375,
2020-11-12,22.799999237060547,22.8799991607666,22.200000762939453,22.350000381469727,22.350000381469727,613200,ROOT,2.5,0.25,0.9101571484375,
2020-11-13,22.40999984741211,22.5,20.739999771118164,21.0,21.0,808000,ROOT,2.5,0.25,0.9101571484375,
2020-11-16,21.600000381469727,21.600000381469727,19.665000915527344,19.850000381469727,19.850000381469727,1472600,ROOT,2.5,0.25,0.9101571484375,
2020-11-17,20.0,20.20800018310547,19.1200008392334,19.219999313354492,19.219999313354492,890400,ROOT,2.5,0.25,0.9101571484375,
2020-11-18,19.020000457763672,19.290000915527344,17.06999969482422,17.170000076293945,17.170000076293945,3025700,ROOT,2.5,0.25,0.9101571484375,
2020-11-19,17.299999237060547,19.450000762939453,16.8700008392334,19.260000228881836,19.260000228881836,2578200,ROOT,2.5,0.25,0.9101571484375,
2020-11-20,19.360000610351562,19.450000762939453,18.450000762939453,19.0,19.0,632500,ROOT,2.5,0.25,0.9101571484375,
2020-11-23,17.986000061035156,18.280000686645508,17.0,17.020000457763672,17.020000457763672,2929700,ROOT,2.5,0.25,0.9101571484375,
2020-11-24,17.40999984741211,17.579999923706055,16.59000015258789,16.729999542236328,16.729999542236328,1370400,ROOT,2.5,0.25,0.9101571484375,
2020-11-25,16.799999237060547,17.510000228881836,16.770000457763672,17.010000228881836,17.010000228881836,1174700,ROOT,2.5,0.25,0.9101571484375,
2020-11-27,17.030000686645508,17.450000762939453,16.93000030517578,17.229999542236328,17.229999542236328,628500,ROOT,2.5,0.25,0.9101571484375,
2020-11-30,17.65999984741211,17.7450008392334,17.010000228881836,17.700000762939453,17.700000762939453,1232600,ROOT,2.5,0.25,0.9101571484375,
2020-12-01,17.829999923706055,17.850000381469727,16.829999923706055,17.0,17.0,1588000,ROOT,2.5,0.25,0.9101571484375,
2020-12-02,15.425000190734863,15.989999771118164,14.5600004196167,14.699999809265137,14.699999809265137,3181800,ROOT,2.5,0.25,0.9101571484375,
