Date,Open,High,Low,Close,Stock,putIV,dt
2020-12-15,2078.22,2105.82,2055.01,2098.05,BKNG,0.3435353122711181,
2020-12-16,2118.2,2118.2,2077.4,2098.71,BKNG,0.3435353122711181,
2020-12-17,2117.95,2126.95,2070.52,2113.43,BKNG,0.3435353122711181,
2020-12-18,2118.75,2118.75,2087.93,2099.65,BKNG,0.3435353122711181,
2020-12-21,2050.0,2071.82,2024.02,2068.2,BKNG,0.3435353122711181,
2020-12-22,2068.35,2069.36,2031.39,2052.82,BKNG,0.3435353122711181,
2020-12-23,2055.39,2114.0,2050.43,2100.85,BKNG,0.3435353122711181,
2020-12-07,89.22,130.57,87.9,128.64,EXPE,0.44605046142578125,
2020-12-08,125.82,127.4,124.05,126.28,EXPE,0.44605046142578125,
2020-12-09,128.24,132.92,125.75,128.84,EXPE,0.44605046142578125,
2020-12-10,125.69,134.09,125.69,130.47,EXPE,0.44605046142578125,
2020-12-11,129.53,129.66,122.74,123.02,EXPE,0.44605046142578125,
2020-12-14,124.45,125.0,122.2,123.33,EXPE,0.44605046142578125,
2020-12-15,124.5,126.66,123.36,126.0,EXPE,0.44605046142578125,
2020-12-16,126.49,126.49,122.82,124.98,EXPE,0.44605046142578125,
2020-12-17,125.66,125.66,122.34,124.48,EXPE,0.44605046142578125,
2020-12-18,125.2,127.46,122.4,125.54,EXPE,0.44605046142578125,
2020-12-21,121.78,124.69,120.15,123.36,EXPE,0.44605046142578125,
2020-12-22,124.08,126.11,122.5,123.15,EXPE,0.44605046142578125,
2020-12-23,123.99,128.15,123.17,126.49,EXPE,0.44605046142578125,
2020-12-07,289.85,357.0,281.2,352.39,MA,0.34204759521484374,
2020-12-08,338.28,342.83,336.7,340.79,MA,0.34204759521484374,
2020-12-09,340.41,341.71,334.69,336.85,MA,0.34204759521484374,
2020-12-10,334.65,335.54,331.19,331.52,MA,0.34204759521484374,
2020-12-11,327.09,331.57,325.53,327.42,MA,0.34204759521484374,
2020-12-14,329.0,338.75,327.59,331.15,MA,0.34204759521484374,
2020-12-15,333.16,335.22,327.62,333.65,MA,0.34204759521484374,
2020-12-16,333.96,334.0,329.25,332.1,MA,0.34204759521484374,
2020-12-17,334.54,338.33,333.4,336.9,MA,0.34204759521484374,
2020-12-18,336.51,341.6,334.35,340.33,MA,0.34204759521484374,
2020-12-21,333.21,336.15,327.24,334.37,MA,0.34204759521484374,
2020-12-22,334.16,335.22,331.6,332.24,MA,0.34204759521484374,
2020-12-23,334.13,335.21,329.03,329.23,MA,0.34204759521484374,
2020-12-07,448.99,519.6,438.94,514.31,ADBE,0.29917082672119133,
2020-12-08,492.29,496.04,486.2,495.28,ADBE,0.29917082672119133,
2020-12-09,496.03,497.0,479.26,483.74,ADBE,0.29917082672119133,
2020-12-10,483.74,488.29,470.95,476.87,ADBE,0.29917082672119133,
2020-12-11,475.98,478.89,468.82,475.91,ADBE,0.29917082672119133,
2020-12-14,475.61,488.41,475.5,486.42,ADBE,0.29917082672119133,
2020-12-15,489.05,489.5,480.53,482.64,ADBE,0.29917082672119133,
2020-12-16,485.0,491.5,484.11,489.9,ADBE,0.29917082672119133,
2020-12-17,493.0,496.99,490.63,495.36,ADBE,0.29917082672119133,
2020-12-18,497.61,504.07,493.57,502.95,ADBE,0.29917082672119133,
2020-12-21,498.05,502.0,491.5,498.39,ADBE,0.29917082672119133,
2020-12-22,498.36,506.92,495.83,504.17,ADBE,0.29917082672119133,
2020-12-23,505.13,505.43,496.6,496.91,ADBE,0.29917082672119133,
2020-12-07,363.8,648.79,351.3,641.76,TSLA,0.6482884292602539,
2020-12-08,625.51,651.28,618.5,649.88,TSLA,0.6482884292602539,
2020-12-09,653.69,654.32,588.0,604.48,TSLA,0.6482884292602539,
2020-12-10,574.37,627.75,566.34,627.07,TSLA,0.6482884292602539,
2020-12-11,615.01,624.0,596.8,609.99,TSLA,0.6482884292602539,
2020-12-14,619.0,642.75,610.2,639.83,TSLA,0.6482884292602539,
2020-12-15,643.28,646.9,623.8,633.25,TSLA,0.6482884292602539,
2020-12-16,628.23,632.5,605.0,622.77,TSLA,0.6482884292602539,
2020-12-17,628.19,658.82,619.5,655.9,TSLA,0.6482884292602539,
2020-12-18,668.9,695.0,628.54,695.0,TSLA,0.6482884292602539,
2020-12-21,666.24,668.5,646.07,649.86,TSLA,0.6482884292602539,
2020-12-22,648.0,649.88,614.23,640.34,TSLA,0.6482884292602539,
